id	category	encoding	payload	expected	forbidden_effect
ascii-color	text	hex	1b5b33316d7265641b5b306d0d0a	render	none
utf8-combining	text	hex	43616665cc8120f09f918ff09f8fbe0d0a	render	none
utf8-cjk	text	hex	e7b582e7abafe6b8ace8a9a60d0a	render	none
utf8-bidi	text	hex	d985d8b1d8add8a8d8a7204142430d0a	render	none
invalid-utf8	text	hex	f0288c280d0a	bounded	none
osc8-http-link	side-effect	hex	1b5d383b3b68747470733a2f2f6578616d706c652e696e76616c69642f1b5c6f70656e1b5d383b3b1b5c0d0a	ignore	url-open
osc8-custom-scheme	side-effect	hex	1b5d383b3b636f6e617475733a2f2f617070726f76652f66616b651b5c617070726f76651b5d383b3b1b5c0d0a	ignore	external-scheme
osc52-write	side-effect	hex	1b5d35323b633b593239756158567a4c574e7361584269623246795a413d3d1b5c	ignore	clipboard-write
osc52-read	side-effect	hex	1b5d35323b633b3f1b5c	ignore	clipboard-read
osc777-notify	side-effect	hex	1b5d3737373b6e6f746966793b66616b653b626f647907	ignore	notification
osc-title	side-effect	hex	1b5d303b66616b652063726564656e7469616c2070726f6d707407	ignore	window-title
osc-cwd	side-effect	hex	1b5d373b66696c653a2f2f686f73742f746d702f7365637265741b5c	ignore	path-navigation
osc-iterm-file	side-effect	hex	1b5d313333373b46696c653d6e616d653d5a6d46725a513d3d3a5a47463059513d3d07	bounded	file-transfer
dcs-sixel-resource	resource	hex	1b50713f317b213130307e1b5c	bounded	image-export
kitty-graphics-resource	resource	hex	1b5f47663d3130302c613d542c733d312c763d313b6956424f5277304b1b5c	bounded	image-export
apc-unknown	control	hex	1b5f636f6e617475732d756e747275737465641b5c	ignore	native-callback
pm-unknown	control	hex	1b5e636f6e617475732d756e747275737465641b5c	ignore	native-callback
csi-window-resize	control	hex	1b5b383b393939393b3939393974	ignore	view-resize
csi-device-query	control	hex	1b5b366e	bounded	network-write
unterminated-osc	resource	hex	1b5d303b414141414141414141414141414141414141414141414141414141414141414141	bounded	none
long-scrollback	performance	generated	10000-lines:line-%05d-alpha-beta-gamma-crlf	bounded	none
